id;frase;sentimento
1;precarizacao;Negativo
2;lucros;Negativo
3;prejuizo;Negativo
4;excelente;Negativo
5;isso;Negativo
6;rio;Negativo
7;grande;Negativo
8;sul;Negativo
9;tiveram;Negativo
10;probleminha;Negativo
11;pessoal;Negativo
12;"""estado";Negativo
13;"zero""";Negativo
14;foi;Negativo
15;altamente;Negativo
16;pedir;Negativo
17;ajuda;Negativo
18;estado;Negativo
19;mesmo;Negativo
20;governador;Negativo
21;queira;Negativo
22;alma;Negativo
23;gauchos;Negativo
24;lucro;Negativo
25;deles;Negativo
26;privado;Negativo
27;sempre;Negativo
28;publico;Negativo
29;engracado;Negativo
30;pra;Negativo
31;sabesp;Negativo
32;preocupacao;Negativo
33;nao;Negativo
34;aparece;Negativo
35;essas;Negativo
36;arvores;Negativo
37;podem;Negativo
38;ser;Negativo
39;podadas;Negativo
40;antes;Negativo
41;desastre;Negativo
42;estou;Negativo
43;ha;Negativo
44;dois;Negativo
45;anos;Negativo
46;pedindo;Negativo
47;podar;Negativo
48;arvore;Negativo
49;frente;Negativo
50;casa;Negativo
51;causou;Negativo
52;mais;Negativo
53;k;Negativo
54;preju;Negativo
55;cerca;Negativo
56;eletrica;Negativo
57;serpentina;Negativo
58;muro;Negativo
59;hoje;Negativo
60;nada;Negativo
61;poda;Negativo
62;fez;Negativo
63;pos;Negativo
64;asfalto;Negativo
65;obras;Neutro
66;baixissima;Neutro
67;qualidade;Neutro
68;superfaturadas;Neutro
69;ainda;Neutro
70;pensou;Neutro
71;fizesse;Neutro
72;dele;Neutro
73;teriam;Negativo
74;aumentado;Negativo
75;quase;Negativo
76;pedidos;Negativo
77;emergenciais;Negativo
78;cidade;Negativo
79;cairam;Negativo
80;poderiam;Negativo
81;ter;Negativo
82;sido;Negativo
83;teriamos;Negativo
84;esse;Negativo
85;enel;Negativo
86;sim;Negativo
87;governo;Negativo
88;federal;Negativo
89;culpa;Negativo
90;fazer;Negativo
91;respeito;Negativo
92;agora;Negativo
93;bocal;Negativo
94;so;Negativo
95;poderia;Negativo
96;feito;Negativo
97;acoes;Negativo
98;preventivas;Negativo
99;deixou;Negativo
100;acumular;Negativo
101;risco;Negativo
102;nesse;Negativo
103;meio;Negativo
104;tempo;Negativo
105;apagao;Negativo
106;ano;Negativo
107;passado;Negativo
108;vemos;Neutro
109;pesquisas;Neutro
110;colocando;Neutro
111;cara;Neutro
112;disparado;Neutro
113;primeiro;Neutro
114;mil;Negativo
115;homens;Negativo
116;cortaram;Negativo
117;durante;Negativo
118;meses;Negativo
119;seca;Negativo
120;responsabilidade;Negativo
121;desses;Negativo
122;apagoes;Negativo
123;investir;Negativo
124;zeladoria;Negativo
125;cobra;Negativo
126;fiacoes;Negativo
127;sejam;Negativo
128;subterraneas;Negativo
129;esta;Negativo
130;lei;Negativo
131;ahh;Neutro
132;adoro;Neutro
133;ricardo;Neutro
134;nunes;Neutro
135;assume;Negativo
136;bo;Negativo
137;faz;Negativo
138;trampo;Negativo
139;prevencao;Negativo
140;carisma;Neutro
141;bueiro;Neutro
142;aberto;Neutro
143;alagado;Neutro
144;aumentou;Neutro
145;proprio;Neutro
146;salario;Neutro
147;corta;Neutro
148;dinheiro;Neutro
149;aposentadoria;Neutro
150;professor;Neutro
151;populacao;Neutro
152;situacao;Neutro
153;rua;Neutro
154;teve;Negativo
155;plantao;Negativo
156;globo;Negativo
157;cobertura;Negativo
158;ao;Negativo
159;vivo;Negativo
160;jornalismo;Negativo
161;sobrevoo;Negativo
162;helicoptero;Negativo
163;mostrar;Negativo
164;estrago;Negativo
165;linda;Negativo
166;combinacao;Negativo
167;fraco;Negativo
168;curto;Negativo
169;amigos;Negativo
170;cheios;Negativo
171;panos;Negativo
172;passar;Negativo
